Reference, Value, Footprint, Datasheet, Cost QTY: 1, Cost QTY: 1000, Cost QTY: 10000, Cost QTY: 2500, Cost QTY: 5000, Date Created, Date Modified, Description, Designer, Height, Lead-Free ?, MFR, MFR#, Management_ID, Mounting, Package, Pin Count #, RoHS Levels, Status, Tolerance, Type, Vendor, Vendor #, Voltage, _Value_
"R18","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"R17","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"D10","B240A-13-F","growbox-KiCAD-Diodes:B240A-13-F","https://www.diodes.com/assets/Datasheets/ds13004.pdf","0.41000","0.10100","0.07828","0.09242","0.08838","3/30/2020","3/30/2020","Diode Schottky 40V 2A Surface Mount SMA","AVR","0.73mm","Yes","Diodes Incorporated","B240A-13-F","*","SMT","DO-214AC, SMA","2","1","Active","*","TVS Diode","Digikey","B240A-FDICT-ND","40V","B240A-13-F"
"D6","LTST-C194TBKT","growbox-KiCAD-Diodes:LED0603","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","0.42000","0.07797","0.05424","*","0.06102","3/1/2020","3/1/2020","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)","AVR","0.45mm","Yes","Lite-On Inc.","LTST-C194TBKT","*","SMT","0603","2","1","Active","*","Blue LED Colorless","Digikey","160-1837-2-ND","3.3V","Blue LED"
"R24","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"Q2","IRLML6346TRPBF","growbox-KiCAD-Transistors:SOT-23","https://www.infineon.com/dgdl/irlml6346pbf.pdf?fileId=5546d462533600a401535668a336262e","0.42000","0.10260","0.08978","*","0.09388","4/1/2020","4/1/2020","N-Channel 30V 3.4A (Ta) 1.3W (Ta) Surface Mount Micro3™/SOT-23","AVR","1.12mm","Yes","Infineon Technologies","IRLML6346TRPBF","*","SMT","SOT23","3","1","Active","*","N-Channel MOSFET","Digikey","IRLML6346TRPBFCT-ND","30V","IRLML6346TRPBF"
"R20","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"R19","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"D11","B240A-13-F","growbox-KiCAD-Diodes:B240A-13-F","https://www.diodes.com/assets/Datasheets/ds13004.pdf","0.41000","0.10100","0.07828","0.09242","0.08838","3/30/2020","3/30/2020","Diode Schottky 40V 2A Surface Mount SMA","AVR","0.73mm","Yes","Diodes Incorporated","B240A-13-F","*","SMT","DO-214AC, SMA","2","1","Active","*","TVS Diode","Digikey","B240A-FDICT-ND","40V","B240A-13-F"
"D7","LTST-C194TBKT","growbox-KiCAD-Diodes:LED0603","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","0.42000","0.07797","0.05424","*","0.06102","3/1/2020","3/1/2020","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)","AVR","0.45mm","Yes","Lite-On Inc.","LTST-C194TBKT","*","SMT","0603","2","1","Active","*","Blue LED Colorless","Digikey","160-1837-2-ND","3.3V","Blue LED"
"R25","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"Q3","IRLML6346TRPBF","growbox-KiCAD-Transistors:SOT-23","https://www.infineon.com/dgdl/irlml6346pbf.pdf?fileId=5546d462533600a401535668a336262e","0.42000","0.10260","0.08978","*","0.09388","4/1/2020","4/1/2020","N-Channel 30V 3.4A (Ta) 1.3W (Ta) Surface Mount Micro3™/SOT-23","AVR","1.12mm","Yes","Infineon Technologies","IRLML6346TRPBF","*","SMT","SOT23","3","1","Active","*","N-Channel MOSFET","Digikey","IRLML6346TRPBFCT-ND","30V","IRLML6346TRPBF"
"R22","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"R21","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"D12","B240A-13-F","growbox-KiCAD-Diodes:B240A-13-F","https://www.diodes.com/assets/Datasheets/ds13004.pdf","0.41000","0.10100","0.07828","0.09242","0.08838","3/30/2020","3/30/2020","Diode Schottky 40V 2A Surface Mount SMA","AVR","0.73mm","Yes","Diodes Incorporated","B240A-13-F","*","SMT","DO-214AC, SMA","2","1","Active","*","TVS Diode","Digikey","B240A-FDICT-ND","40V","B240A-13-F"
"D8","LTST-C194TBKT","growbox-KiCAD-Diodes:LED0603","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","0.42000","0.07797","0.05424","*","0.06102","3/1/2020","3/1/2020","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)","AVR","0.45mm","Yes","Lite-On Inc.","LTST-C194TBKT","*","SMT","0603","2","1","Active","*","Blue LED Colorless","Digikey","160-1837-2-ND","3.3V","Blue LED"
"R26","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"T18","1755574","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_08x5.00mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755794.pdf","2.73000","1.92214","*","1.80350","*","3/26/2020","3/26/2020","8 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.197" (5.00mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755574","*","ThroughHole","*","8","1","Active","*","Connector, Terminal Block ","Digikey","277-1146-ND","300V","1755574"
"R38","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"R39","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"R40","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"R41","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"U7","74ACT16244DGGR","growbox-KiCAD-ICs:74ACT16244DGGR","https://www.ti.com/lit/ds/symlink/74act16244.pdf","1.81000","0.88740","0.76500","0.82620","*","3/31/2020","3/31/2020","Buffer, Non-Inverting 4 Element 4 Bit per Element 3-State Output 48-TSSOP","AVR","2.79mm","Yes","Texas Instruments","74ACT16244DGGR","*","SMT","48-TSSOP","48","1","Active","*","Buffer, Non-Inverting","Digikey","296-1004-1-ND","4.5V ~ 5.5V","74ACT16244DGGR"
"C13","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"C16","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"C19","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"C22","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"T13","1740369","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_05x5.00mm_Vertical","","2.73000","1.92214","*","1.80350","*","4/3/2020","4/3/2020","5 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.197" (5.00mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1740369","*","ThroughHole","*","5","1","Active","*","Connector, Terminal Block ","Digikey","277-13864-ND","300V","1740369"
"T14","1740369","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_05x5.00mm_Vertical","","2.73000","1.92214","*","1.80350","*","4/3/2020","4/3/2020","5 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.197" (5.00mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1740369","*","ThroughHole","*","5","1","Active","*","Connector, Terminal Block ","Digikey","277-13864-ND","300V","1740369"
"T15","1740369","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_05x5.00mm_Vertical","","2.73000","1.92214","*","1.80350","*","4/3/2020","4/3/2020","5 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.197" (5.00mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1740369","*","ThroughHole","*","5","1","Active","*","Connector, Terminal Block ","Digikey","277-13864-ND","300V","1740369"
"T16","1740369","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_05x5.00mm_Vertical","","2.73000","1.92214","*","1.80350","*","4/3/2020","4/3/2020","5 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.197" (5.00mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1740369","*","ThroughHole","*","5","1","Active","*","Connector, Terminal Block ","Digikey","277-13864-ND","300V","1740369"
"T17","1740369","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_05x5.00mm_Vertical","","2.73000","1.92214","*","1.80350","*","4/3/2020","4/3/2020","5 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.197" (5.00mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1740369","*","ThroughHole","*","5","1","Active","*","Connector, Terminal Block ","Digikey","277-13864-ND","300V","1740369"
"D2","LTST-C194TBKT","growbox-KiCAD-Diodes:LED0603","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","0.42000","0.07797","0.05424","*","0.06102","3/1/2020","3/1/2020","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)","AVR","0.45mm","Yes","Lite-On Inc.","LTST-C194TBKT","*","SMT","0603","2","1","Active","*","Blue LED Colorless","Digikey","160-1837-2-ND","3.3V","Blue LED"
"D1","LTST-C194TBKT","growbox-KiCAD-Diodes:LED0603","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","0.42000","0.07797","0.05424","*","0.06102","3/1/2020","3/1/2020","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)","AVR","0.45mm","Yes","Lite-On Inc.","LTST-C194TBKT","*","SMT","0603","2","1","Active","*","Blue LED Colorless","Digikey","160-1837-2-ND","3.3V","Blue LED"
"T12","1755503","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_10x5.00mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755503.pdf","3.42000","2.40693","*","2.25835","*","3/26/2020","3/26/2020","10 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.197" (5.00mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755503","*","ThroughHole","*","10","1","Active","*","Connector, Terminal Block ","Digikey","277-1139-ND","300V","1755503"
"T11","1755503","growbox-KiCAD-Connectors:PhoenixContact_MSTBVA-G_10x5.00mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1755503.pdf","3.42000","2.40693","*","2.25835","*","3/26/2020","3/26/2020","10 Position Terminal Block Header, Male Pins, Shrouded (4 Side) 0.197" (5.00mm) Vertical  Through Hole","AVR","12mm","Yes","Phoenix Contact","1755503","*","ThroughHole","*","10","1","Active","*","Connector, Terminal Block ","Digikey","277-1139-ND","300V","1755503"
"R14","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"R13","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"R12","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"R9","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"D4","LTST-C194TBKT","growbox-KiCAD-Diodes:LED0603","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","0.42000","0.07797","0.05424","*","0.06102","3/1/2020","3/1/2020","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)","AVR","0.45mm","Yes","Lite-On Inc.","LTST-C194TBKT","*","SMT","0603","2","1","Active","*","Blue LED Colorless","Digikey","160-1837-2-ND","3.3V","Blue LED"
"D3","LTST-C194TBKT","growbox-KiCAD-Diodes:LED0603","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","0.42000","0.07797","0.05424","*","0.06102","3/1/2020","3/1/2020","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)","AVR","0.45mm","Yes","Lite-On Inc.","LTST-C194TBKT","*","SMT","0603","2","1","Active","*","Blue LED Colorless","Digikey","160-1837-2-ND","3.3V","Blue LED"
"R11","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"R10","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"R8","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
